date,reits_index,tb10y,hs300,csi_dividend,nav,reits_index_norm,nav_norm
2022-11-16,1105.5728,2.83,3834.3899,4943.7381,,1.0948001851382763,
2022-11-17,1095.8185,2.7875,3818.664,4924.1986,,1.0851409302742872,
2022-11-18,1093.8077,2.83,3801.5686,4891.5442,,1.0831497233521594,
2022-11-21,1107.3458,2.82,3769.1269,4894.16,,1.0965559091649983,
2022-11-22,1104.3961,2.83,3769.5727,4899.1869,,1.0936349508110097,
2022-11-23,1103.2802,2.785,3773.5287,4910.7696,,1.0925299240533002,
2022-11-24,1103.2023,2.805,3756.8082,4945.974,,1.0924527831048052,
2022-11-25,1104.1265,2.84,3775.7764,5007.6149,,1.093367977772316,
2022-11-28,1101.0419,2.87,3733.2424,4986.3839,,1.0903134338733729,
2022-11-29,1106.7159,2.89,3848.4224,5129.6265,,1.095932146861314,
2022-11-30,1106.2306,2.9175,3853.0365,5120.0521,,1.0954515755865437,
2022-12-01,1109.6698,2.8975,3894.7687,5093.5771,,1.098857264290831,
2022-12-02,1113.1859,2.905,3870.9478,5077.2213,,1.1023391036875354,
2022-12-05,1124.5419,2.9245,3946.8759,5151.1459,,1.113584451712044,
2022-12-06,1133.2542,2.945,3968.1979,5125.573,,1.1222118597425057,
2022-12-07,1129.7494,2.9075,3958.4409,5095.9529,,1.1187412102394854,
2022-12-08,1131.0684,2.915,3959.1798,5106.7151,,1.1200473580066859,
2022-12-09,1132.8968,2.9175,3998.2442,5151.5545,,1.1218579422201422,
2022-12-12,1128.2976,2.9125,3953.4433,5077.8586,,1.1173035564650948,
2022-12-13,1124.9097,2.9175,3945.6813,5101.5963,,1.113948667897621,
2022-12-14,1117.6872,2.883,3954.8857,5082.2494,,1.106796543372523,
2022-12-15,1116.246,2.915,3951.9885,5030.6117,,1.1053693863125618,
2022-12-16,1114.8626,2.905,3954.227,5083.3404,,1.1039994660539225,
2022-12-19,1112.3351,2.8875,3893.2207,4978.9303,,1.1014965938161678,
2022-12-20,1104.156,2.8925,3829.0173,4928.7312,,1.093397190326624,
2022-12-21,1101.3757,2.86,3830.5384,4930.9022,,1.09064398135229,
2022-12-22,1102.3118,2.85,3836.028,4896.1758,,1.0915709600671315,
2022-12-23,1108.6348,2.825,3828.2188,4890.0072,,1.0978323492498514,
2022-12-26,1109.6217,2.84,3843.4887,4877.9674,,1.0988096329734676,
2022-12-27,1106.4053,2.8675,3887.854,4928.713,,1.0956245733234122,
2022-12-28,1097.2736,2.85,3871.2644,4936.895,,1.086581851893736,
2022-12-29,1098.779,2.8375,3856.7007,4892.7946,,1.0880725833939204,
2022-12-30,1114.4713,2.838,3871.6338,4925.8579,,1.1036119788505068,
2023-01-03,1107.4988,2.82,3887.8992,4957.7815,,1.0967074183449692,
2023-01-04,1102.4995,2.815,3892.9477,4996.9112,,1.0917568311330172,
2023-01-05,1096.6843,2.8325,3968.5782,5010.5086,,1.0859982939868282,
2023-01-06,1102.3144,2.8325,3980.8888,5000.1082,,1.091573534732935,
2023-01-09,1102.2433,2.84,4013.1196,4997.3119,,1.091503127525772,
